date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:00	21894/21894	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:40%20GMT	http://www.ansonika.com/limmo/review.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/review.html	(from )
23:06:01	49/49	---M--	200	added ('OK')	text/plain	date:Mon,%2003%20Jul%202017%2009:22:00%20GMT	http://www.ansonika.com/robots.txt		(from )
23:06:01	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2213e-5cd4785160e61%22	http://www.ansonika.com/limmo/img/favicon.ico	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/favicon.ico	(from http://www.ansonika.com/limmo/review.html)
23:06:02	605/605	---M--	200	added ('OK')	image/png	etag:%2225d-5cd4785066c12%22	http://www.ansonika.com/limmo/img/apple-touch-icon-57x57-precomposed.png	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/apple-touch-icon-57x57-precomposed.png	(from http://www.ansonika.com/limmo/review.html)
23:06:02	746/746	---M--	200	added ('OK')	image/png	etag:%222ea-5cd47850958f1%22	http://www.ansonika.com/limmo/img/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/apple-touch-icon-72x72-precomposed.png	(from http://www.ansonika.com/limmo/review.html)
23:06:03	1006/1006	---M--	200	added ('OK')	image/png	etag:%223ee-5cd4784f6b49c%22	http://www.ansonika.com/limmo/img/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/apple-touch-icon-114x114-precomposed.png	(from http://www.ansonika.com/limmo/review.html)
23:06:03	1253/1253	---M--	200	added ('OK')	image/png	etag:%224e5-5cd4784fa1636%22	http://www.ansonika.com/limmo/img/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/apple-touch-icon-144x144-precomposed.png	(from http://www.ansonika.com/limmo/review.html)
23:06:07	162720/162720	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2009:44:50%20GMT	http://www.ansonika.com/limmo/css/bootstrap.min.css	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/bootstrap.min.css	(from http://www.ansonika.com/limmo/review.html)
23:06:07	22518/22518	---M--	200	added ('OK')	text/css	etag:%2257f6-5cd476a75e3ef%22	http://www.ansonika.com/limmo/css/style.css	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/style.css	(from http://www.ansonika.com/limmo/review.html)
23:06:08	84726/84726	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2009:44:57%20GMT	http://www.ansonika.com/limmo/css/vendors.css	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/vendors.css	(from http://www.ansonika.com/limmo/review.html)
23:06:10	225/225	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2009:44:56%20GMT	http://www.ansonika.com/limmo/css/custom.css	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/custom.css	(from http://www.ansonika.com/limmo/review.html)
23:06:10	17560/17560	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:38%20GMT	http://www.ansonika.com/limmo/index.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/index.html	(from http://www.ansonika.com/limmo/review.html)
23:06:11	9455/9455	---M--	200	added ('OK')	image/svg+xml	etag:%2224ef-5cd4785250789%22	http://www.ansonika.com/limmo/img/logo.svg	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/logo.svg	(from http://www.ansonika.com/limmo/review.html)
23:06:11	17524/17524	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:40%20GMT	http://www.ansonika.com/limmo/reservation-single-date-picker.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/reservation-single-date-picker.html	(from http://www.ansonika.com/limmo/review.html)
23:06:12	17589/17589	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:39%20GMT	http://www.ansonika.com/limmo/reservation-range-date-picker-lang.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/reservation-range-date-picker-lang.html	(from http://www.ansonika.com/limmo/review.html)
23:06:12	14547/14547	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:39%20GMT	http://www.ansonika.com/limmo/registration.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/registration.html	(from http://www.ansonika.com/limmo/review.html)
23:06:12	18139/18139	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:38%20GMT	http://www.ansonika.com/limmo/quotation.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/quotation.html	(from http://www.ansonika.com/limmo/review.html)
23:06:13	16093/16093	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:37%20GMT	http://www.ansonika.com/limmo/about.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/about.html	(from http://www.ansonika.com/limmo/review.html)
23:06:13	11013/11013	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:44:36%20GMT	http://www.ansonika.com/limmo/contact.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/contact.html	(from http://www.ansonika.com/limmo/review.html)
23:06:14	15961/15961	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2009:45:49%20GMT	http://www.ansonika.com/limmo/html_rtl/index.html	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/html_rtl/index.html	(from http://www.ansonika.com/limmo/review.html)
23:06:15	1331/1331	---M--	200	added ('OK')	application/javascript	etag:%22533-5cd47897ab652%22	http://www.ansonika.com/limmo/js/common_functions.js	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/js/common_functions.js	(from http://www.ansonika.com/limmo/review.html)
23:06:16	1032/1032	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2009:44:45%20GMT	http://www.ansonika.com/limmo/assets/validate.js	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/assets/validate.js	(from http://www.ansonika.com/limmo/review.html)
23:06:16	483/483	---M--	200	added ('OK')	application/javascript	etag:%221e3-5cd4789c99b9a%22	http://www.ansonika.com/limmo/js/review_wizard_func.js	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/js/review_wizard_func.js	(from http://www.ansonika.com/limmo/review.html)
23:06:17	2720/2720	---M--	200	added ('OK')	application/javascript	etag:%22aa0-5cd4789d2f1f6%22	http://www.ansonika.com/limmo/js/switcher.js	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/js/switcher.js	(from http://www.ansonika.com/limmo/review.html)
23:06:17	703/703	---M--	200	added ('OK')	image/svg+xml	etag:%222bf-5cd4785350ad2%22	http://www.ansonika.com/limmo/img/plus.svg	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/plus.svg	(from http://www.ansonika.com/limmo/css/style.css)
23:06:18	626/626	---M--	200	added ('OK')	image/svg+xml	etag:%22272-5cd478525bc55%22	http://www.ansonika.com/limmo/img/minus.svg	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/img/minus.svg	(from http://www.ansonika.com/limmo/css/style.css)
23:06:20	90528/90528	---M--	200	added ('OK')	text/html	etag:%22161a0-5cd476ae28de4%22	http://www.ansonika.com/limmo/css/bs-icon-font/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/bs-icon-font/bootstrap-icons63f3.html	(from http://www.ansonika.com/limmo/css/vendors.css)
23:06:21	2820/2820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b04-5cd476b682997%22	http://www.ansonika.com/limmo/css/smiles_icon_fonts/font/smiles.eot	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/smiles_icon_fonts/font/smiles.eot	(from http://www.ansonika.com/limmo/css/vendors.css)
23:06:22	1344/1344	---M--	200	added ('OK')	application/x-font-woff	etag:%22540-5cd476b89267e%22	http://www.ansonika.com/limmo/css/smiles_icon_fonts/font/smiles.woff	C:/My%20Web%20Sites/form/www.ansonika.com/limmo/css/smiles_icon_fonts/font/smiles.woff	(from http://www.ansonika.com/limmo/css/vendors.css)
